gvkey,year,patents_applied,patents_granted,private_subsidiary_patents,distinct_assignee_names,private_subsidiary_share,cik,link_method,link_score,link_conflict,candidate_count,ticker_hint,revenue,sales_marketing_expense,sga_expense,rd_expense,capex,employees,sales_marketing_to_revenue,sga_to_revenue,rd_to_revenue,capex_to_revenue,kw_sales_force,kw_customer_service,kw_brand,kw_advertising,kw_customer_data,customer_capital_keyword_total,sic,sic_description,state_of_incorporation,fiscal_year_end,entity_type,name_sec,ticker_sec,naics2_proxy
001078,2001,125,125,1,2,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2002,112,112,1,2,0.008928571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2003,154,154,12,5,0.07792207792207792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2004,133,133,2,2,0.015037593984962405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2005,140,140,10,4,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2006,333,333,113,7,0.33933933933933935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2007,378,378,58,7,0.15343915343915343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2008,375,375,63,7,0.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001078,2009,406,406,65,11,0.16009852216748768,0001091587,fuzzy_name,0.9,False,1.0,,31795000000.0,,5528000000.0,,,,,0.17386381506526183,,,8.0,1.0,2.0,1.0,0.0,12.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2010,434,434,125,14,0.2880184331797235,0001091587,fuzzy_name,0.9,False,1.0,,31589000000.0,,4615000000.0,1082000000.0,,,,0.14609515970749312,0.03425242964323024,,5.0,1.0,1.0,0.0,0.0,7.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2011,392,392,102,14,0.2602040816326531,0001091587,fuzzy_name,0.9,False,1.0,,37990000000.0,,5373000000.0,1371000000.0,,,,0.14143195577783627,0.036088444327454595,,7.0,1.0,3.0,0.0,0.0,11.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2012,383,383,92,11,0.2402088772845953,0001091587,fuzzy_name,0.9,False,1.0,,39336000000.0,,5756000000.0,1464000000.0,,,,0.14632906243644497,0.03721781574130567,,7.0,1.0,4.0,0.0,0.0,12.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2013,377,377,77,8,0.20424403183023873,0001091587,fuzzy_name,0.9,False,1.0,,41848000000.0,,6094000000.0,1470000000.0,,,,0.14562225195947237,0.035127126744408335,,6.0,1.0,3.0,0.0,0.0,10.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2014,310,310,69,10,0.22258064516129034,0001091587,fuzzy_name,0.9,False,1.0,,39830000000.0,,6067000000.0,1499000000.0,,,,0.15232237007280944,0.037634948531257845,,5.0,2.0,3.0,0.0,1.0,11.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2015,350,350,83,9,0.23714285714285716,0001091587,fuzzy_name,0.9,False,1.0,,35481000000.0,,5574000000.0,1406000000.0,,,,0.1570981652151856,0.039626842535441506,,5.0,2.0,1.0,0.0,2.0,10.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
001078,2016,365,365,57,11,0.15616438356164383,0001091587,fuzzy_name,0.9,False,1.0,,33828000000.0,,5349000000.0,1300000000.0,,,,0.15812344803121675,0.03842970320444602,,3.0,1.0,17.0,2.0,4.0,27.0,3613,Switchgear & Switchboard Apparatus,,1231,other,ABB LTD,ABLZF,31-33
